catchment_poly_id,region,n_scenarios_top50,robustness_class,score_base,score_corisk_emphasis,score_service_emphasis,score_no_burden,score_death_heavy,score_admission_heavy,corisk_score,service_deficit_std
191,NA,5,Highly robust priority,0.7286506003901637,0.746534133848559,0.7107670669317682,0.8096117781946515,0.6476894225856757,0.6476894237618847,0.869223556389303,0.75
175,NA,5,Highly robust priority,0.720633728351101,0.7358449710277105,0.7054224856744914,0.8007041422553652,0.6405633144468368,0.6405634050552947,0.8514082845107305,0.75
105,NA,5,Highly robust priority,0.7190834450901745,0.7337779267862357,0.7043889633941134,0.798981605653537,0.6391852845268122,0.6391852845602446,0.8479632113070742,0.75
99,NA,5,Highly robust priority,0.7185622911728198,0.6580830548946758,0.7790415274509636,0.7984025457395204,0.6387220366061189,0.6387220367753768,0.5968050914790408,1
60,NA,5,Highly robust priority,0.7157234507213291,0.654297934271431,0.7771489671712271,0.79524827850034,0.6361986229423182,0.636198632647321,0.5904965570006799,1
137,NA,5,Highly robust priority,0.7154229615224454,0.6538972820288371,0.7769486410160538,0.7949144016879721,0.6359315213569187,0.6359315214106007,0.5898288033759443,1
88,NA,5,Highly robust priority,0.7137226981779345,0.6516302642366147,0.7758151321192541,0.793025220195601,0.6344201761602679,0.6344201762246862,0.5860504403912019,1
115,NA,5,Highly robust priority,0.7135260836180861,0.7263681114902929,0.7006840557458791,0.7928067595740229,0.6342454076621493,0.6342454076788727,0.8356135191480458,0.75
187,NA,5,Highly robust priority,0.7124155064033487,0.7248873418646967,0.6999436709420005,0.7915727848711602,0.6332582279355372,0.6332582290948897,0.8331455697423206,0.75
177,NA,5,Highly robust priority,0.7120195415080507,0.7243593886750161,0.6996796943410852,0.7911328238898848,0.6329062591262166,0.6329062639480596,0.8322656477797696,0.75
35,NA,5,Highly robust priority,0.7114924300722137,0.6486565734288144,0.7743282867156132,0.790547144522002,0.6324377156224256,0.6324377156553384,0.5810942890440041,1
146,NA,5,Highly robust priority,0.7085932246655327,0.6447909662147057,0.7723954831163597,0.7873258051639098,0.6298606441671556,0.6298606450294869,0.5746516103278198,1
141,NA,5,Highly robust priority,0.7083963268728202,0.6445284358275133,0.7722642179181269,0.7871070298489773,0.6296856238966632,0.6296856240947356,0.5742140596979546,1
